chrom	win_Mb	n	obs	exp	excess
10	50	8045	0.20957116221255437	0.20260980017103244	0.0069613620415219235
10	60	7702	0.20864710464814334	0.202209553904743	0.006437550743400355
10	70	6850	0.20583941605839415	0.20130603870307062	0.004533377355323526
10	80	8338	0.20580474934036938	0.20088652003722546	0.004918229303143923
10	90	8256	0.20506298449612403	0.19898118402093162	0.0060818004751924115
10	100	6602	0.19887912753710996	0.19756264504969737	0.0013164824874125902
10	110	6130	0.19722675367047307	0.19974117741321984	-0.0025144237427467686
10	120	10187	0.21929910670462355	0.19781505007293285	0.0214840566316907
10	130	3566	0.22013460459899045	0.19869210227452264	0.021442502324467816
11	0	11346	0.22968447029790234	0.20274299415155117	0.026941476146351173
11	10	9119	0.20978177431735937	0.20099635694052972	0.00878541737682964
11	20	8218	0.20564614261377465	0.20084663828458968	0.004799504329184967
11	30	7700	0.20454545454545456	0.19869299544068578	0.005852459104768781
11	40	7902	0.20956719817767655	0.2037907382735154	0.005776459904161146
11	50	6593	0.24435006825420902	0.20342267003664447	0.04092739821756455
11	60	6502	0.21085819747769918	0.195865789691179	0.014992407786520195
11	70	6383	0.2020993263355789	0.19913358189428035	0.0029657444412985456
11	80	8136	0.2157079646017699	0.20378444488448008	0.011923519717289832
11	90	8623	0.21662994317522904	0.20255704533049007	0.014072897844738974
11	100	8453	0.2156630781970898	0.20356382535101814	0.012099252846071662
11	110	7857	0.20478554155530101	0.19861766538775744	0.006167876167543579
11	120	7516	0.20875465673230442	0.19740047899532082	0.011354177736983606
11	130	3772	0.20996818663838812	0.1995677201887021	0.010400466449686008
12	0	7949	0.25525223298528116	0.18938080822504016	0.06587142476024099
12	10	8169	0.26906598114824337	0.19268005564067944	0.07638592550756393
12	20	9521	0.21447326961453628	0.20267801470440508	0.011795254910131198
12	30	3898	0.2503848127244741	0.19666047999179917	0.053724332732674934
12	40	6885	0.21118373275236021	0.2006053202393855	0.010578412512974728
12	50	7175	0.209198606271777	0.20286912612349847	0.006329480148278527
12	60	8142	0.19958241218373865	0.20299886984591178	-0.0034164576621731335
12	70	6483	0.21672065401820145	0.2019622338724088	0.01475842014579265
12	80	6864	0.194493006993007	0.20353021793096499	-0.009037210937957979
12	90	8585	0.2046592894583576	0.1964131866342794	0.0082461028240782
12	100	7675	0.19817589576547232	0.19736737432939788	0.000808521436074433
12	110	6262	0.19450654742893644	0.1924357101973989	0.002070837231537531
12	120	8481	0.19266595920292418	0.19436922408998825	-0.001703264887064071
12	130	2992	0.2212566844919786	0.19572466357104137	0.025532020920937232
13	10	1830	0.47759562841530057	0.1866849095277696	0.29091071888753095
13	20	11161	0.22148552997043275	0.19635746878542484	0.025128061185007905
13	30	7773	0.20378232342724817	0.19922641691294166	0.0045559065143065125
13	40	8204	0.20282788883471478	0.19865187481782537	0.004176014016889412
13	50	6781	0.19908568057808582	0.19930693450600795	-0.0002212539279221326
13	60	9240	0.23354978354978356	0.1966910328447405	0.036858750705043075
13	70	7160	0.19986033519553073	0.20015946173274768	-0.00029912653721694826
13	80	6743	0.18893667507044343	0.20292845292565276	-0.01399177785520933
13	90	7266	0.20162400220203688	0.20025312467572584	0.0013708775263110429
13	100	7656	0.19827586206896552	0.1977470681589052	0.0005287939100603323
13	110	3829	0.2128493079132933	0.20227615708806854	0.010573150825224753
14	10	2277	0.6666666666666666	0.09586589743128435	0.5708007692353823
14	20	8928	0.2114695340501792	0.20217275417112449	0.009296779879054723
14	30	7481	0.2042507686138217	0.19913091031395277	0.005119858299868912
14	40	7551	0.21043570388028077	0.20592447663800387	0.0045112272422768995
14	50	8404	0.2039504997620181	0.20047408775422393	0.0034764120077941663
14	60	6158	0.20769730431958427	0.19927852564825538	0.008418778671328897
14	70	7470	0.19437751004016066	0.19458550684410722	-0.00020799680394656406
14	80	8714	0.19990819371126922	0.19834215530128663	0.0015660384099825952
14	90	8260	0.20774818401937045	0.194441544860623	0.01330663915874744
14	100	5490	0.28105646630236797	0.2070962833625956	0.07396018293977236
15	20	8956	0.3529477445288075	0.16335312660514584	0.18959461792366167
15	30	8023	0.21662719680917364	0.20040576133114874	0.016221435478024904
15	40	4894	0.21148344912137312	0.19838220098695045	0.013101248134422677
15	50	9722	0.19646163340876363	0.19897711092355388	-0.002515477514790254
15	60	5788	0.19644091223220456	0.19505407236139033	0.001386839870814227
15	70	5350	0.21364485981308412	0.19823490413580955	0.015409955677274573
15	80	8059	0.2144186623650577	0.19579039226573522	0.01862827009932247
15	90	9453	0.20670686554532952	0.19783228869785885	0.008874576847470672
15	100	2012	0.22415506958250497	0.19704533585946615	0.02710973372303882
16	0	10879	0.2047982351319055	0.19144165288170142	0.013356582250204085
16	10	8252	0.23824527387300048	0.1902465851042024	0.04799868876879809
16	20	6230	0.23820224719101124	0.18637668289424947	0.05182556429676177
16	30	3144	0.5970101781170484	0.1677818112037062	0.4292283669133422
16	50	7926	0.19972243250063085	0.19249045837665005	0.0072319741239808
16	60	6892	0.1950087057457922	0.19476457797939706	0.00024412776639515243
16	70	10458	0.22203098106712565	0.19229112429859016	0.029739856768535494
16	80	11336	0.20192307692307693	0.19549731938254158	0.006425757540535343
17	0	8984	0.19968833481745324	0.19371480811583247	0.005973526701620768
17	10	7808	0.20543032786885246	0.192962066810405	0.01246826105844745
17	20	9167	0.6042325733609687	0.13185083000631373	0.472381743354655
17	30	6432	0.21470771144278608	0.1960553548873216	0.01865235655546449
17	40	9138	0.2638432917487415	0.18909229336060104	0.07475099838814045
17	50	6488	0.20437731196054254	0.1961804148808689	0.008196897079673637
17	60	6319	0.20604526032600096	0.19441021017234633	0.011635050153654625
17	70	9144	0.19860017497812774	0.1912190144428165	0.0073811605353112375
17	80	2940	0.21462585034013607	0.19524053556715276	0.019385314772983303
18	0	9793	0.21300929235167976	0.19677083284698044	0.01623845950469932
18	10	5814	0.2973856209150327	0.197765692522662	0.09961992839237069
18	20	5903	0.20514992376757582	0.19888074481525667	0.006269178952319154
18	30	6332	0.20056854074542008	0.19887468921025264	0.0016938515351674344
18	40	7389	0.19461361483285966	0.19769833702921177	-0.003084722196352113
18	50	7535	0.21366954213669542	0.19633013211549014	0.017339410021205287
18	60	7279	0.19851627970875121	0.2012236546662615	-0.002707374957510278
18	70	9790	0.19959141981613893	0.20086055698731675	-0.0012691371711778254
19	0	9498	0.2130974942093072	0.19394031250171742	0.019157181707589788
19	10	8037	0.20953091949732489	0.19113675100079888	0.018394168496526003
19	20	10523	0.31245842440368715	0.17552989731818971	0.13692852708549744
19	30	7859	0.2201297875047716	0.1914915665188291	0.028638220985942514
19	40	7648	0.2073744769874477	0.19339078342905275	0.01398369355839496
19	50	10151	0.2522904147374643	0.19098094551602618	0.061309469221438095
20	0	8392	0.19566253574833176	0.1975837777495878	-0.0019212420012560405
20	10	8988	0.19715175789942144	0.19632398411621904	0.0008277737832023957
20	20	16803	0.5953698744271856	0.15074537648565986	0.4446244979415257
20	30	9513	0.42236938925680645	0.16065076694864272	0.26171862230816373
20	40	6813	0.20974607368266548	0.19571914621545508	0.014026927467210404
20	50	8276	0.1959884001933301	0.1952924109400048	0.0006959892533253131
20	60	4420	0.19841628959276017	0.1964602266482149	0.0019560629445452837
21	0	4627	0.8061378863194294	0.06611825331999432	0.7400196329994351
21	10	9363	0.3982697853252163	0.15156276650721473	0.24670701881800156
21	20	8606	0.20520567046246804	0.19960223542465969	0.0056034350378083575
21	30	8397	0.19292604501607716	0.19250533105545872	0.00042071396061843513
21	40	5839	0.20106182565507794	0.19573850420408026	0.005323321450997676
22	10	10173	0.6064091221861792	0.119517584976722	0.48689153720945716
22	20	9155	0.29885308574549424	0.19288797942909547	0.10596510631639877
22	30	8337	0.19119587381552117	0.19112582393871672	7.004987680445107e-05
22	40	8863	0.19733724472526232	0.1950717876742059	0.0022654570510564076
X	0	3610	0.23684210526315788	0.1969588652250321	0.039883240038125795
Y	10	3249	0.7457679285934133	0.21554406119162836	0.530223867401785
