chrom	start	gc	Mb	n	dp_med
3	22500000	0.36769	22	1787	43.0
3	27500000	0.43209	27	1357	45.0
3	32500000	0.40977	32	1565	43.0
3	37500000	0.45171	37	915	44.0
3	42500000	0.48018	42	995	45.0
3	47500000	0.47838	47	585	45.0
3	52500000	0.48878	52	737	45.0
3	57500000	0.41224	57	878	46.0
3	62500000	0.40038	62	1540	44.0
3	67500000	0.3883	67	1713	43.0
3	72500000	0.4537	72	1105	45.0
3	77500000	0.33982	77	1322	45.0
3	82500000	0.36038	82	1423	43.0
3	87500000	0.35959	87	1499	43.0
3	97500000	0.36451	97	449	42.0
3	102500000	0.3659	102	949	43.0
3	107500000	0.37702	107	937	43.0
3	112500000	0.37072	112	1834	43.0
3	117500000	0.36955	117	1473	45.0
3	122500000	0.41021	122	1434	44.0
3	127500000	0.49148	127	1068	43.0
3	132500000	0.38391	132	1186	43.0
3	137500000	0.38596	137	1192	44.0
3	142500000	0.3825	142	1047	45.0
3	147500000	0.34735	147	763	45.0
3	152500000	0.37786	152	756	44.0
3	157500000	0.38096	157	1187	43.0
3	162500000	0.35129	162	2433	43.0
3	167500000	0.36734	167	1131	43.0
3	172500000	0.40842	172	1376	44.0
3	177500000	0.41064	177	1168	44.0
3	182500000	0.37302	182	776	44.0
3	187500000	0.39271	187	1245	45.0
3	192500000	0.37563	192	1362	45.0
4	2500000	0.47284	2	1125	45.0
4	7500000	0.52264	7	2347	44.0
4	12500000	0.36781	12	1652	43.0
4	17500000	0.44169	17	1728	44.0
4	22500000	0.40071	22	1065	43.0
4	27500000	0.35273	27	1729	44.0
4	32500000	0.33518	32	2658	44.0
4	37500000	0.41731	37	2012	43.0
4	42500000	0.37775	42	1340	43.0
4	47500000	0.37756	47	1454	43.0
4	52500000	0.4103	52	1394	45.0
4	57500000	0.38558	57	1908	44.0
4	62500000	0.36322	62	1358	44.0
4	67500000	0.37042	67	1499	44.0
4	72500000	0.37344	72	1791	43.0
4	77500000	0.40887	77	794	42.0
4	82500000	0.41941	82	1845	44.0
4	87500000	0.39062	87	1499	43.0
4	92500000	0.34195	92	509	43.0
4	97500000	0.35009	97	1468	43.0
4	102500000	0.37449	102	1521	43.0
4	107500000	0.36781	107	1131	43.0
4	112500000	0.3955	112	881	44.0
4	117500000	0.34312	117	1402	42.0
4	122500000	0.39068	122	924	44.0
4	127500000	0.3909	127	558	44.0
4	132500000	0.34094	132	2260	43.0
4	137500000	0.35491	137	1578	44.0
4	142500000	0.36383	142	1236	43.0
4	147500000	0.4016	147	1069	44.0
4	152500000	0.39849	152	1010	44.0
4	157500000	0.36538	157	1517	43.0
4	162500000	0.34954	162	1795	42.0
4	167500000	0.35394	167	1292	43.0
4	172500000	0.36402	172	1498	44.0
4	177500000	0.38506	177	1653	42.0
4	182500000	0.37524	182	1879	45.0
4	187500000	0.38311	187	1482	44.0
5	2500000	0.45601	2	2085	45.0
5	7500000	0.39811	7	1649	44.0
5	12500000	0.35681	12	1341	43.0
5	22500000	0.35254	22	1373	44.0
5	27500000	0.34492	27	1126	43.0
5	32500000	0.43929	32	1134	45.0
5	37500000	0.38474	37	1017	45.0
5	42500000	0.38589	42	1246	43.0
5	52500000	0.35245	52	1445	43.0
5	57500000	0.39957	57	1412	44.0
5	62500000	0.37266	62	996	43.0
5	67500000	0.36549	67	1035	43.0
5	72500000	0.41111	72	947	44.0
5	77500000	0.36697	77	1422	44.0
5	82500000	0.38661	82	1251	44.0
5	87500000	0.36953	87	744	43.0
5	92500000	0.34393	92	857	42.0
5	97500000	0.37476	97	1703	43.0
5	102500000	0.35853	102	1137	42.0
5	107500000	0.38522	107	1196	44.0
5	112500000	0.42022	112	1491	43.0
5	117500000	0.35072	117	1480	44.0
5	122500000	0.39075	122	961	44.0
5	127500000	0.38617	127	1063	42.0
5	132500000	0.40252	132	886	43.0
5	137500000	0.43079	137	1234	43.0
5	142500000	0.42575	142	1302	44.0
5	147500000	0.39528	147	1041	43.0
5	152500000	0.38729	152	1297	43.0
5	157500000	0.44364	157	1475	45.0
5	162500000	0.36392	162	1275	43.0
5	167500000	0.38048	167	1011	46.0
5	172500000	0.47968	172	1351	45.0
5	177500000	0.50284	177	1181	44.0
6	2500000	0.42561	2	1417	45.0
6	7500000	0.42415	7	1905	45.0
6	12500000	0.3891	12	872	43.0
6	17500000	0.41728	17	1064	45.0
6	22500000	0.37017	22	1447	44.0
6	27500000	0.41046	27	1166	46.0
6	32500000	0.41549	32	15368	40.0
6	37500000	0.50952	37	983	45.0
6	42500000	0.40624	42	1266	45.0
6	47500000	0.36764	47	1330	44.0
6	52500000	0.46339	52	1409	44.0
6	57500000	0.36957	57	765	44.0
6	62500000	0.35842	62	1547	42.0
6	67500000	0.35001	67	1522	43.0
6	72500000	0.36669	72	1201	43.0
6	77500000	0.37019	77	1590	43.0
6	82500000	0.37998	82	1135	44.0
6	87500000	0.38347	87	1468	44.0
6	92500000	0.34735	92	1552	43.0
6	97500000	0.35403	97	786	43.0
6	102500000	0.32529	102	1195	42.0
6	107500000	0.40286	107	1532	44.0
6	112500000	0.36698	112	1024	43.0
6	117500000	0.38594	117	1153	43.0
6	122500000	0.37778	122	1661	44.0
6	127500000	0.37013	127	912	43.0
6	132500000	0.38051	132	1239	44.0
6	137500000	0.39364	137	1278	45.0
6	142500000	0.39693	142	1005	42.0
6	147500000	0.39986	147	978	44.0
6	152500000	0.36558	152	1303	44.0
6	157500000	0.45498	157	1190	44.0
6	162500000	0.40664	162	1348	44.0
6	167500000	0.48318799032748677	167	1879	44.0
7	2500000	0.56152	2	1218	45.0
7	7500000	0.37489	7	1827	42.0
7	12500000	0.38691	12	2437	43.0
7	17500000	0.37248	17	1594	42.0
7	22500000	0.4237	22	1562	43.0
7	27500000	0.37991	27	1259	45.0
7	32500000	0.40477	32	1853	44.0
7	37500000	0.40305	37	1473	44.0
7	42500000	0.38414	42	1465	45.0
7	47500000	0.49879	47	1574	44.0
7	52500000	0.36099	52	1885	45.0
7	57500000	0.36154	57	1316	46.0
7	62500000	0.36796429988950985	62	2073	39.0
7	67500000	0.44256	67	1995	46.0
7	72500000	0.43833	72	1115	46.0
7	77500000	0.39975	77	1292	43.0
7	82500000	0.37443	82	980	42.0
7	87500000	0.38008	87	674	43.0
7	97500000	0.38917	97	1066	44.0
7	102500000	0.53919	102	1160	45.0
7	107500000	0.38435	107	729	44.0
7	112500000	0.40087	112	855	42.0
7	117500000	0.3565	117	457	43.0
7	122500000	0.34821	122	705	45.0
7	127500000	0.42921	127	619	44.0
7	132500000	0.46649	132	915	45.0
7	137500000	0.37404	137	1110	45.0
7	142500000	0.42339	142	4022	45.0
7	147500000	0.38257	147	1740	44.0
7	152500000	0.48017	152	1300	46.0
8	2500000	0.40588	2	2256	44.0
8	7500000	0.47501	7	922	44.0
8	12500000	0.44082	12	1809	49.0
8	17500000	0.41354	17	2238	44.0
8	22500000	0.48844	22	1316	45.5
8	27500000	0.48022	27	1450	45.0
8	32500000	0.38284	32	1538	45.0
8	37500000	0.47859	37	1120	45.0
8	42500000	0.42974	42	855	46.0
8	47500000	0.4003	47	516	44.0
8	52500000	0.41163	52	892	45.0
8	57500000	0.38658	57	1913	43.0
8	62500000	0.37009	62	1348	44.0
8	67500000	0.39597	67	729	45.0
8	72500000	0.37518	72	1546	43.0
8	77500000	0.33508	77	1237	43.0
8	82500000	0.33958	82	902	44.0
8	87500000	0.35125	87	1518	42.0
8	92500000	0.36338	92	659	44.0
8	97500000	0.42123	97	1304	44.0
8	102500000	0.44792	102	1417	44.0
8	107500000	0.38795	107	1458	42.0
8	112500000	0.33972	112	1021	43.0
8	117500000	0.38882	117	983	44.0
8	122500000	0.41537	122	687	43.0
8	127500000	0.4148	127	1219	44.0
8	132500000	0.4167	132	1322	44.0
8	137500000	0.38067	137	1821	44.0
8	142500000	0.59528	142	1883	43.0
9	2500000	0.39614	2	2012	44.0
9	7500000	0.38848	7	2167	44.0
9	12500000	0.35262	12	1787	44.0
9	17500000	0.40034	17	1444	44.0
9	22500000	0.36068	22	1404	43.0
9	27500000	0.39031	27	1782	44.0
9	32500000	0.4006	32	1932	43.0
9	37500000	0.45493	37	1406	45.0
9	42500000	0.39796	42	2129	51.0
9	62500000	0.39887	62	727	110.0
9	67500000	0.40826	67	283	44.0
9	72500000	0.41934	72	1292	45.0
9	77500000	0.41546	77	993	45.0
9	82500000	0.38375	82	488	43.0
9	87500000	0.43772	87	1771	45.0
9	92500000	0.40332	92	542	44.0
9	97500000	0.46696	97	1139	44.0
9	102500000	0.34067	102	1891	42.0
9	107500000	0.45223	107	1440	45.0
9	112500000	0.39853	112	1706	45.0
9	117500000	0.38693	117	1540	45.0
9	122500000	0.39257	122	1111	43.0
9	127500000	0.53309	127	1069	45.0
9	132500000	0.50942	132	1194	46.0
10	2500000	0.3978	2	1987	45.0
10	7500000	0.45714	7	1332	46.0
10	12500000	0.45971	12	1935	45.0
10	17500000	0.40765	17	1514	45.0
10	22500000	0.42464	22	578	45.0
10	27500000	0.3793	27	1736	45.0
10	32500000	0.3782	32	1332	43.0
10	37500000	0.39078	37	1093	45.0
10	42500000	0.40901	42	2552	48.0
10	47500000	0.42716	47	709	44.0
10	52500000	0.35842	52	1606	44.0
10	57500000	0.35791	57	1195	43.0
10	62500000	0.3913217396521896	62	1019	43.0
10	67500000	0.37225	67	976	43.0
10	72500000	0.38172	72	819	45.0
10	77500000	0.46279	77	1232	44.0
10	82500000	0.36356	82	1218	44.0
10	87500000	0.38781	87	781	43.0
10	92500000	0.41493	92	946	45.0
10	97500000	0.49827	97	1294	45.0
10	102500000	0.46609	102	782	45.0
10	107500000	0.3765	107	1449	45.0
10	112500000	0.36624	112	565	44.0
10	117500000	0.47977	117	1254	45.0
10	122500000	0.48713	122	1495	44.0
10	127500000	0.41614	127	2207	43.0
11	2500000	0.5433	2	1643	43.0
11	7500000	0.45437	7	1885	42.0
11	12500000	0.42641	12	1703	45.0
11	17500000	0.50216	17	1304	44.0
11	22500000	0.36255	22	1360	43.0
11	27500000	0.38715	27	1048	44.0
11	32500000	0.4129	32	1221	44.0
11	37500000	0.34924	37	1459	43.0
11	42500000	0.38108	42	1377	44.0
11	47500000	0.46722	47	1065	44.0
11	57500000	0.47958	57	766	45.0
11	62500000	0.50784	62	1209	45.0
11	67500000	0.49952	67	1648	45.0
11	72500000	0.47442	72	962	44.0
11	77500000	0.4233	77	862	44.0
11	82500000	0.38031	82	1049	43.0
11	87500000	0.38923	87	1890	43.5
11	92500000	0.38042	92	1224	43.0
11	97500000	0.35397	97	1520	43.0
11	102500000	0.38934	102	1625	44.0
11	107500000	0.37794	107	1351	44.0
11	112500000	0.43515	112	1511	45.0
11	117500000	0.50688	117	1508	44.0
11	122500000	0.4177	122	1285	45.0
11	127500000	0.37775	127	1004	44.0
11	132500000	0.39309	132	907	45.0
12	2500000	0.4867	2	1210	45.0
12	7500000	0.39001	7	1567	45.0
12	12500000	0.41339	12	1387	45.0
12	17500000	0.34818	17	1690	44.0
12	22500000	0.3761	22	920	44.0
12	27500000	0.40641	27	1193	45.0
12	32500000	0.40509	32	1892	45.0
12	37500000	0.41557	37	1147	36.0
12	42500000	0.40823	42	1683	45.0
12	47500000	0.40537	47	1327	45.0
12	52500000	0.48371	52	1880	43.0
12	57500000	0.48813	57	932	44.0
12	62500000	0.35766	62	1229	42.0
12	67500000	0.40336	67	1485	44.0
12	72500000	0.34228	72	683	44.0
12	77500000	0.36436	77	1553	43.0
12	82500000	0.36547	82	1021	44.0
12	87500000	0.3579	87	1062	42.0
12	92500000	0.3992	92	1253	45.0
12	97500000	0.36862	97	1328	45.0
12	102500000	0.40874	102	1183	44.0
12	107500000	0.44382	107	1327	44.0
12	112500000	0.45317	112	560	43.0
12	117500000	0.4513	117	1362	45.0
12	122500000	0.41253	122	802	44.0
12	127500000	0.4135	127	2156	45.0
13	17500000	0.38523	17	357	19.0
13	22500000	0.37156	22	2317	45.0
13	27500000	0.39994	27	1562	45.0
13	32500000	0.39371	32	984	44.0
13	37500000	0.35258	37	1627	45.0
13	42500000	0.40958	42	1701	43.0
13	47500000	0.38957	47	1627	43.0
13	52500000	0.39544	52	1269	44.0
13	57500000	0.34934	57	1437	44.0
13	62500000	0.33099	62	1189	43.0
13	67500000	0.34672	67	1194	43.0
13	72500000	0.37702	72	1309	43.0
13	77500000	0.39236	77	833	43.0
13	82500000	0.32911	82	1096	43.0
13	87500000	0.3482	87	781	41.0
13	92500000	0.35529	92	1266	43.0
13	97500000	0.40903	97	741	43.0
13	102500000	0.39189	102	1115	44.0
13	107500000	0.36654	107	1648	44.0
14	22500000	0.44184	22	1322	38.0
14	27500000	0.34039	27	1297	42.0
14	32500000	0.38537	32	1320	45.0
14	37500000	0.38247	37	1560	44.0
14	42500000	0.33715	42	1331	43.0
14	47500000	0.36038	47	1722	43.0
14	52500000	0.38321	52	1334	43.0
14	57500000	0.39981	57	1173	43.0
14	62500000	0.36433	62	1889	42.0
14	67500000	0.47169	67	624	45.0
14	72500000	0.46749	72	1559	45.0
14	77500000	0.41237	77	1759	45.0
14	82500000	0.34446	82	1274	45.0
14	87500000	0.38323	87	1001	43.0
14	92500000	0.48157	92	1619	44.0
14	97500000	0.4226	97	1217	46.0
14	102500000	0.53814	102	784	46.0
15	17500000	0.37743	17	450	36.0
15	22500000	0.42557	22	1115	49.0
15	27500000	0.4065	27	1452	46.0
15	32500000	0.40052	32	997	44.0
15	37500000	0.37049	37	1319	43.0
15	42500000	0.42481	42	1000	44.0
15	47500000	0.39389	47	1074	44.0
15	52500000	0.40365	52	1227	45.0
15	57500000	0.45859	57	1722	44.0
15	62500000	0.42653	62	1459	44.0
15	67500000	0.39899	67	1449	44.0
15	72500000	0.38313	72	829	44.0
15	77500000	0.52058	77	986	43.0
15	82500000	0.4454	82	939	44.0
15	87500000	0.40018	87	1171	44.0
15	92500000	0.43325	92	1669	43.0
15	97500000	0.37405	97	1518	44.0
16	2500000	0.54699	2	960	45.0
16	7500000	0.42101	7	2720	47.0
16	12500000	0.48783	12	1971	45.0
16	17500000	0.43821	17	1445	45.0
16	22500000	0.45336	22	830	49.0
16	27500000	0.46872	27	1162	46.0
16	32500000	0.37615	32	318	56.0
16	52500000	0.40524	52	1140	45.0
16	57500000	0.49774	57	1169	46.0
16	62500000	0.36789	62	1195	45.0
16	72500000	0.38394	72	788	45.0
16	77500000	0.4128	77	2623	44.0
16	82500000	0.42529	82	2337	45.0
16	87500000	0.50783	87	1889	46.0
17	2500000	0.46298	2	1193	45.0
17	7500000	0.50717	7	1172	45.0
17	12500000	0.38452	12	1296	46.0
17	17500000	0.54974	17	1205	46.0
17	22500000	0.38991	22	1539	94.0
17	27500000	0.49284	27	768	46.5
17	32500000	0.43758	32	857	44.0
17	37500000	0.41516	37	524	46.0
17	42500000	0.51011	42	802	45.0
17	47500000	0.42421	47	1228	45.0
17	52500000	0.37387	52	1364	44.0
17	57500000	0.47977	57	1309	45.0
17	62500000	0.40035	62	1004	44.0
17	67500000	0.43777	67	839	45.0
17	72500000	0.48031	72	1506	47.0
17	77500000	0.49204	77	1358	45.0
18	2500000	0.3794	2	1827	45.0
18	7500000	0.41627	7	1073	46.0
18	12500000	0.40025	12	1930	43.0
18	22500000	0.39415	22	1268	44.0
18	27500000	0.37369	27	758	45.0
18	32500000	0.39882	32	842	45.0
18	37500000	0.49002	37	1127	45.0
18	42500000	0.36953	42	1317	45.0
18	47500000	0.44318	47	1183	45.0
18	52500000	0.37028	52	1528	45.0
18	57500000	0.43477	57	1343	45.0
18	62500000	0.42594	62	880	44.0
18	67500000	0.36516	67	1888	44.0
18	72500000	0.38028	72	2317	43.0
18	77500000	0.40428	77	2593	43.0
19	2500000	0.51769	2	1545	45.0
19	7500000	0.53483	7	1779	46.0
19	12500000	0.45642	12	1001	46.0
19	17500000	0.51862	17	1640	46.0
19	22500000	0.43683	22	1537	46.0
19	27500000	0.36634	27	2334	67.0
19	32500000	0.43182	32	1370	46.0
19	37500000	0.42058	37	781	46.0
19	42500000	0.46004	42	657	43.0
19	47500000	0.49167	47	1120	45.0
19	52500000	0.45784	52	2125	47.0
20	2500000	0.43481	2	1185	45.0
20	7500000	0.36465	7	1557	45.0
20	12500000	0.37782	12	1471	42.0
20	17500000	0.43297	17	1199	44.0
20	22500000	0.45398	22	1177	45.0
20	32500000	0.53426	32	962	46.0
20	37500000	0.47123	37	1419	45.0
20	42500000	0.39813	42	1007	45.0
20	47500000	0.41975	47	1433	45.0
20	52500000	0.39363	52	1132	45.0
20	57500000	0.49012	57	1330	44.0
21	12500000	0.38647	12	236	69.5
21	17500000	0.40157	17	1802	45.0
21	22500000	0.35308	22	1224	44.0
21	27500000	0.35991	27	1600	45.0
21	32500000	0.45492	32	1495	47.0
21	37500000	0.44386	37	1235	44.0
21	42500000	0.49776	42	1839	45.0
22	12500000	0.37828	12	2895	75.0
22	17500000	0.47046	17	1471	45.0
22	22500000	0.45145	22	2634	44.0
22	27500000	0.49194	27	1678	46.0
22	32500000	0.46723	32	1534	44.0
22	37500000	0.52822	37	1434	46.0
22	42500000	0.52592	42	1236	46.0
22	47500000	0.44356	47	1402	43.0
X	2500000	0.46285	2	1796	43.0
X	7500000	0.37793	7	675	21.0
X	12500000	0.39115	12	652	22.0
X	22500000	0.36642	22	669	22.0
X	27500000	0.36943	27	294	22.0
X	32500000	0.36105	32	712	22.0
X	42500000	0.38252	42	285	22.0
X	47500000	0.46895	47	605	21.0
X	52500000	0.43595	52	231	20.0
X	57500000	0.38724	57	593	21.0
X	67500000	0.39002	67	560	21.0
X	72500000	0.39552	72	336	22.0
X	77500000	0.36909	77	738	21.0
X	82500000	0.36546	82	751	22.0
X	87500000	0.35039	87	1411	21.0
X	92500000	0.35479	92	578	21.0
X	97500000	0.37287	97	331	21.0
X	102500000	0.3894	102	233	20.0
X	112500000	0.39436	112	347	21.0
X	117500000	0.37486	117	1104	20.0
X	122500000	0.37318	122	809	22.0
X	127500000	0.35584	127	1074	21.0
X	137500000	0.43007	137	669	22.0
X	142500000	0.36918	142	819	22.0
X	147500000	0.36532	147	593	21.0
X	152500000	0.38893	152	699	21.0
