gene	tier	chrom	start	end	ensembl_id
CASQ2	D_actionable_pediatric	1	115697988.0	115837921.0	ENSG00000118729
CBS	D_actionable_pediatric	21	43050900.0	43076943.0	ENSG00000160200
CCDC39	D_actionable_pediatric	3	180602858.0	180684942.0	ENSG00000284862
CCDC40	D_actionable_pediatric	17	80036000.0	80100613.0	ENSG00000141519
CCDC61	B_mitotic_GO	19	45995444.0	46021318.0	ENSG00000104983
CCDC66	B_mitotic_GO	3	56557161.0	56621837.0	ENSG00000180376
CCM2	D_actionable_pediatric	7	44999475.0	45076470.0	ENSG00000136280
CCNB1	B_mitotic_GO	5	69167004.0	69178389.0	ENSG00000134057
CCNO	D_actionable_pediatric	5	55231152.0	55233649.0	ENSG00000152669
CDC16	B_mitotic_GO	13	114234856.0	114273445.0	ENSG00000130177
CDC20	B_mitotic_GO	1	43358907.0	43363212.0	ENSG00000117399
CDC23	B_mitotic_GO	5	138180663.0	138213346.0	ENSG00000094880
CDC27	B_mitotic_GO	17	47117703.0	47189422.0	ENSG00000004897
CDC6	B_mitotic_GO	17	40287831.0	40304657.0	ENSG00000094804
CDC73	C_tumour_predisposition,D_actionable_pediatric	1	193115732.0	193264613.0	ENSG00000134371
CDCA5	B_mitotic_GO	11	65066299.0	65084164.0	ENSG00000146670
CDCA8	B_mitotic_GO	1	37692473.0	37709719.0	ENSG00000134690
CDH1	C_tumour_predisposition,D_actionable_pediatric	16	68737242.0	68835543.0	ENSG00000039068
CDH23	D_actionable_pediatric	10	71396884.0	71815947.0	ENSG00000107736
CDK1	B_mitotic_GO	10	60778312.0	60796346.0	ENSG00000170312
CDK11B	B_mitotic_GO	1	1635225.0	1659267.0	ENSG00000248333
CDK4	C_tumour_predisposition,D_actionable_pediatric	12	57746043.0	57756013.0	ENSG00000135446
CDK5RAP2	B_mitotic_GO	9	120388875.0	120580178.0	ENSG00000136861
CDKN1B	C_tumour_predisposition,D_actionable_pediatric	12	12685498.0	12722373.0	ENSG00000111276
CDKN2A	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	9	21966924.0	21995301.0	ENSG00000147889
CDT1	B_mitotic_GO	16	88803777.0	88809258.0	ENSG00000167513
CEBPA	C_tumour_predisposition	19	33299934.0	33302534.0	ENSG00000245848
CECR2	B_mitotic_GO	22	17359949.0	17558151.0	ENSG00000099954
CENATAC	A_MVA_core	11	118998051.0	119015811.0	ENSG00000186166
CENPA	B_mitotic_GO	2	26764289.0	26801067.0	ENSG00000115163
CENPC	B_mitotic_GO	4	67468762.0	67545565.0	ENSG00000145241
CENPE	B_mitotic_GO	4	103105349.0	103198463.0	ENSG00000138778
CENPF	B_mitotic_GO	1	214603172.0	214664574.0	ENSG00000117724
CENPI	B_mitotic_GO	X	101098150.0	101166126.0	ENSG00000102384
CEP192	B_mitotic_GO	18	12991283.0	13125053.0	ENSG00000101639
CEP55	B_mitotic_GO	10	93496577.0	93529096.0	ENSG00000138180
CEP57	A_MVA_core	11	95789965.0	95837070.0	ENSG00000166037
CFAP300	D_actionable_pediatric	11	102047402.0	102085137.0	ENSG00000137691
CFL1	B_mitotic_GO	11	65823022.0	65862026.0	ENSG00000172757
CHAMP1	B_mitotic_GO	13	114314482.0	114337626.0	ENSG00000198824
CHEK2	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	22	28687738.0	28742422.0	ENSG00000183765
CHFR	B_mitotic_GO	12	132822187.0	132956304.0	ENSG00000072609
CHMP1A	B_mitotic_GO	16	89640816.0	89657738.0	ENSG00000131165
CHMP1B	B_mitotic_GO	18	11851413.0	11854444.0	ENSG00000255112
CHMP2A	B_mitotic_GO	19	58551452.0	58555129.0	ENSG00000130724
CHMP2B	B_mitotic_GO	3	87227258.0	87259944.0	ENSG00000083937
CHMP3	B_mitotic_GO	2	86502688.0	86563507.0	ENSG00000115561
CHMP4A	B_mitotic_GO	14	24209581.0	24213830.0	ENSG00000254505
CHMP4B	B_mitotic_GO	20	33811253.0	33854366.0	ENSG00000101421
CHMP4BP1	B_mitotic_GO	14	55271378.0	55299503.0	ENSG00000258469
CHMP4C	B_mitotic_GO	8	81732448.0	81759515.0	ENSG00000164695
CHMP5	B_mitotic_GO	9	33264017.0	33282071.0	ENSG00000086065
CHMP6	B_mitotic_GO	17	80991598.0	81031356.0	ENSG00000176108
CHMP7	B_mitotic_GO	8	23243630.0	23266156.0	ENSG00000147457
CHTF8	B_mitotic_GO	16	69118009.0	69132849.0	ENSG00000168802
CIB2	D_actionable_pediatric	15	78102300.0	78131565.0	ENSG00000136425
CIT	B_mitotic_GO	12	119685108.0	119877338.0	ENSG00000122966
CKAP2	B_mitotic_GO	13	52455429.0	52476640.0	ENSG00000136108
CLASP1	B_mitotic_GO	2	121337776.0	121649599.0	ENSG00000074054
CLASP2	B_mitotic_GO	3	33496187.0	33718414.0	ENSG00000163539
CLDN14	D_actionable_pediatric	21	36460616.0	36576569.0	ENSG00000159261
CLTC	B_mitotic_GO	17	59619606.0	59696956.0	ENSG00000141367
CNTROB	B_mitotic_GO	17	7932101.0	7949953.0	ENSG00000170037
COL3A1	D_actionable_pediatric	2	188974371.0	189012746.0	ENSG00000168542
COL4A3	D_actionable_pediatric	2	227164509.0	227314792.0	ENSG00000169031
COL4A4	D_actionable_pediatric	2	227002713.0	227164559.0	ENSG00000081052
COL4A5	D_actionable_pediatric	X	108439717.0	108697766.0	ENSG00000188153
COL5A1	D_actionable_pediatric	9	134641724.0	134844843.0	ENSG00000130635
COL5A2	D_actionable_pediatric	2	189030743.0	189225312.0	ENSG00000204262
CP	D_actionable_pediatric	3	149162410.0	149222049.0	ENSG00000047457
CPAP	B_mitotic_GO	13	24882276.0	24922889.0	ENSG00000151849
CPS1	D_actionable_pediatric	2	210477641.0	210679109.0	ENSG00000021826
CPT2	D_actionable_pediatric	1	53196770.0	53214197.0	ENSG00000157184
CSNK2A1	B_mitotic_GO	20	472498.0	543835.0	ENSG00000101266
CSNK2A2	B_mitotic_GO	16	58157907.0	58198191.0	ENSG00000070770
CTNNA1	C_tumour_predisposition	5	138610967.0	138935039.0	ENSG00000044115
CTNS	D_actionable_pediatric	17	3636446.0	3663103.0	ENSG00000040531
CUL3	B_mitotic_GO	2	224470150.0	224585525.0	ENSG00000036257
CUL7	B_mitotic_GO	6	43037617.0	43053943.0	ENSG00000044090
CYP27A1	D_actionable_pediatric	2	218781688.0	218825335.0	ENSG00000135929
DBT	D_actionable_pediatric	1	100182222.0	100249873.0	ENSG00000137992
DCT	B_mitotic_GO	13	94436811.0	94479682.0	ENSG00000080166
DCTN2	B_mitotic_GO	12	57529567.0	57547256.0	ENSG00000175203
DCTN3	B_mitotic_GO	9	34613545.0	34620529.0	ENSG00000137100
DDX11	B_mitotic_GO	12	31073282.0	31104811.0	ENSG00000013573
DDX11L8	B_mitotic_GO	12	12310.0	13501.0	ENSG00000256263
DDX12P	B_mitotic_GO	12	9418670.0	9448229.0	ENSG00000214826
DES	D_actionable_pediatric	2	219417474.0	219426740.0	ENSG00000175084
DHCR7	D_actionable_pediatric	11	71428193.0	71452868.0	ENSG00000172893
DICER1	C_tumour_predisposition,D_actionable_pediatric	14	95086228.0	95158010.0	ENSG00000100697
DIS3L2	B_mitotic_GO	2	231961245.0	232344350.0	ENSG00000144535
DIXDC1	B_mitotic_GO	11	111927144.0	112023091.0	ENSG00000150764
DLGAP5	B_mitotic_GO	14	55132272.0	55191627.0	ENSG00000126787
DMD	D_actionable_pediatric	X	31097677.0	33339609.0	ENSG00000198947
DNAAF19	D_actionable_pediatric	17	44889234.0	44905390.0	ENSG00000167131
DNAAF3	D_actionable_pediatric	19	55158661.0	55166722.0	ENSG00000167646
DNAH11	D_actionable_pediatric	7	21543014.0	21902262.0	ENSG00000105877
DNAH5	D_actionable_pediatric	5	13690328.0	14011818.0	ENSG00000039139
DNAI1	D_actionable_pediatric	9	34457414.0	34520988.0	ENSG00000122735
DNAI2	D_actionable_pediatric	17	74274230.0	74314886.0	ENSG00000171595
DOCK7	B_mitotic_GO	1	62454298.0	62688549.0	ENSG00000116641
DPF1	B_mitotic_GO	19	38211006.0	38229729.0	ENSG00000011332
DPF2	B_mitotic_GO	11	65333792.0	65354262.0	ENSG00000133884
DPF3	B_mitotic_GO	14	72609034.0	72894117.0	ENSG00000205683
DPPA3	B_mitotic_GO	12	7711398.0	7717561.0	ENSG00000187569
DSC2	D_actionable_pediatric	18	31058545.0	31102600.0	ENSG00000134755
DSCC1	B_mitotic_GO	8	119833944.0	119856022.0	ENSG00000136982
DSG2	D_actionable_pediatric	18	31497624.0	31551351.0	ENSG00000046604
DSN1	B_mitotic_GO	20	36751791.0	36774298.0	ENSG00000149636
DSP	D_actionable_pediatric	6	7541320.0	7586717.0	ENSG00000096696
DUSP1	B_mitotic_GO	5	172766992.0	172771198.0	ENSG00000120129
DYNC1H1	B_mitotic_GO	14	101964519.0	102056443.0	ENSG00000197102
DYNC1I1	B_mitotic_GO	7	95772459.0	96110915.0	ENSG00000158560
DYNC1I2	B_mitotic_GO	2	171687409.0	171750179.0	ENSG00000077380
DYNC1LI1	B_mitotic_GO	3	32525974.0	32570949.0	ENSG00000144635
DYNLL1	B_mitotic_GO	12	120468451.0	120498913.0	ENSG00000088986
DYNLL2	B_mitotic_GO	17	58082825.0	58095542.0	ENSG00000264364
DYNLRB1	B_mitotic_GO	20	34515600.0	34540958.0	ENSG00000125971
DYNLRB2	B_mitotic_GO	16	80540734.0	80550813.0	ENSG00000168589
DYNLT1	B_mitotic_GO	6	158612721.0	158644771.0	ENSG00000146425
DYNLT3	B_mitotic_GO	X	37836611.0	37847593.0	ENSG00000165169
ECT2	B_mitotic_GO	3	172750682.0	172821474.0	ENSG00000114346
EFHC1	B_mitotic_GO	6	52362123.0	52529886.0	ENSG00000096093
EGFR	C_tumour_predisposition	7	55018820.0	55211628.0	ENSG00000146648
EGR2	D_actionable_pediatric	10	62811996.0	62819167.0	ENSG00000122877
EML3	B_mitotic_GO	11	62602216.0	62612978.0	ENSG00000149499
EML4	B_mitotic_GO	2	42169312.0	42332548.0	ENSG00000143924
ENG	D_actionable_pediatric	9	127811130.0	127855232.0	ENSG00000106991
EPCAM	D_actionable_pediatric	2	47345158.0	47387601.0	ENSG00000119888
ESCO1	B_mitotic_GO	18	21529041.0	21600966.0	ENSG00000141446
ESCO2	B_mitotic_GO	8	27771949.0	27812640.0	ENSG00000171320
ESPL1	B_mitotic_GO	12	53268248.0	53293643.0	ENSG00000135476
ESPN	D_actionable_pediatric	1	6424770.0	6461367.0	ENSG00000187017
ESRRB	B_mitotic_GO,D_actionable_pediatric	14	76310712.0	76501837.0	ENSG00000119715
EXOC1	B_mitotic_GO	4	55853628.0	55905165.0	ENSG00000090989
EXOC2	B_mitotic_GO	6	485133.0	693170.0	ENSG00000112685
EXOC3	B_mitotic_GO	5	442522.0	471939.0	ENSG00000180104
EXOC4	B_mitotic_GO	7	133253054.0	134067137.0	ENSG00000131558
EXOC5	B_mitotic_GO	14	57200507.0	57268974.0	ENSG00000070367
EXOC6	B_mitotic_GO	10	92826831.0	93059493.0	ENSG00000138190
EXOC6B	B_mitotic_GO	2	72170079.0	72826055.0	ENSG00000144036
EXOC7	B_mitotic_GO	17	76080995.0	76121576.0	ENSG00000182473
EXOC8	B_mitotic_GO	1	231332753.0	231337852.0	ENSG00000116903
F5	D_actionable_pediatric	1	169511951.0	169586699.0	ENSG00000198734
F7	D_actionable_pediatric	13	113105762.0	113120685.0	ENSG00000057593
FANCA	D_actionable_pediatric	16	89726683.0	89816977.0	ENSG00000187741
FANCC	D_actionable_pediatric	9	95099054.0	95426796.0	ENSG00000158169
FANCG	D_actionable_pediatric	9	35073793.0	35082444.0	ENSG00000221829
FBN1	D_actionable_pediatric	15	48408016.0	48645791.0	ENSG00000166147
FBXO5	B_mitotic_GO	6	152970519.0	152983599.0	ENSG00000112029
FBXW7	B_mitotic_GO	4	152320544.0	152536353.0	ENSG00000109670
FGF13	B_mitotic_GO	X	138614727.0	139222777.0	ENSG00000129682
FGF23	D_actionable_pediatric	12	4368227.0	4379713.0	ENSG00000118972
FGFR2	B_mitotic_GO	10	121478331.0	121598770.0	ENSG00000066468
FGFR3	D_actionable_pediatric	4	1793286.0	1808873.0	ENSG00000068078
FH	C_tumour_predisposition,D_actionable_pediatric	1	241497098.0	241519799.0	ENSG00000091483
FLCN	D_actionable_pediatric	17	17212200.0	17237326.0	ENSG00000154803
FLNA	B_mitotic_GO	X	154348524.0	154374643.0	ENSG00000196924
FLNC	D_actionable_pediatric	7	128830292.0	128859275.0	ENSG00000128591
FMN2	B_mitotic_GO	1	240014348.0	240475190.0	ENSG00000155816
FOLR1	D_actionable_pediatric	11	72189529.0	72199329.0	ENSG00000110195
FOXJ1	D_actionable_pediatric	17	76136333.0	76141256.0	ENSG00000129654
FUT9	B_mitotic_GO	6	96015436.0	96215612.0	ENSG00000172461
G6PD	D_actionable_pediatric	X	154517825.0	154547584.0	ENSG00000160211
GAA	D_actionable_pediatric	17	80101526.0	80119881.0	ENSG00000171298
GALNS	D_actionable_pediatric	16	88813733.0	88857832.0	ENSG00000141012
GALNT3	C_tumour_predisposition	2	165747339.0	165846201.0	ENSG00000115339
GAMT	D_actionable_pediatric	19	1397026.0	1401731.0	ENSG00000130005
GATM	D_actionable_pediatric	15	45333479.0	45402327.0	ENSG00000171766
GBA1	D_actionable_pediatric	1	155231270.0	155245178.0	ENSG00000177628
GCH1	D_actionable_pediatric	14	54841961.0	54903280.0	ENSG00000131979
GEN1	B_mitotic_GO	2	17753278.0	17788946.0	ENSG00000178295
GIPC3	D_actionable_pediatric	19	3585474.0	3593541.0	ENSG00000179855
GJB2	D_actionable_pediatric	13	20187463.0	20192980.0	ENSG00000165474
GLA	D_actionable_pediatric	X	101393273.0	101408012.0	ENSG00000102393
GLDC	D_actionable_pediatric	9	6532464.0	6645734.0	ENSG00000178445
GNAI1	B_mitotic_GO	7	79768028.0	80226181.0	ENSG00000127955
GNAI2	B_mitotic_GO	3	50226292.0	50259362.0	ENSG00000114353
GNAI3	B_mitotic_GO	1	109548582.0	109600195.0	ENSG00000065135
GNL3	B_mitotic_GO	3	52681156.0	52696160.0	ENSG00000163938
GOLGA2	B_mitotic_GO	9	128255829.0	128276036.0	ENSG00000167110
GPR161	C_tumour_predisposition	1	168079542.0	168137685.0	ENSG00000143147
GPSM1	B_mitotic_GO	9	136327425.0	136359608.0	ENSG00000160360
GPSM2	B_mitotic_GO	1	108875350.0	108934545.0	ENSG00000121957
GREM1	C_tumour_predisposition,D_actionable_pediatric	15	32716998.0	32745106.0	ENSG00000166923
GRXCR1	D_actionable_pediatric	4	42892713.0	43030658.0	ENSG00000215203
GTF2B	B_mitotic_GO	1	88808326.0	88891944.0	ENSG00000137947
H2BW1	B_mitotic_GO	X	104011147.0	104013708.0	ENSG00000123569
H3-3A	B_mitotic_GO	1	226061571.0	226073207.0	ENSG00000163041
H3-4	B_mitotic_GO	1	228424845.0	228425360.0	ENSG00000168148
H3-5	B_mitotic_GO	12	31791185.0	31792298.0	ENSG00000188375
H3-7	B_mitotic_GO	1	143894544.0	143905977.0	ENSG00000273213
H3Y1	B_mitotic_GO	5	17654868.0	17655849.0	ENSG00000269466
H3Y2	B_mitotic_GO	5	17490967.0	17492076.0	ENSG00000268799
HADHA	D_actionable_pediatric	2	26189833.0	26245044.0	ENSG00000084754
HADHB	D_actionable_pediatric	2	26243170.0	26290473.0	ENSG00000138029
HASPIN	B_mitotic_GO	17	3723903.0	3726699.0	ENSG00000177602
HAVCR2	C_tumour_predisposition	5	157085422.0	157142869.0	ENSG00000135077
HBB	D_actionable_pediatric	11	5225464.0	5229395.0	ENSG00000244734
HDAC8	B_mitotic_GO	X	72329516.0	72573101.0	ENSG00000147099
HECW2	B_mitotic_GO	2	196189099.0	196593684.0	ENSG00000138411
HFE	D_actionable_pediatric	6	26087226.0	26098343.0	ENSG00000010704
HMBS	D_actionable_pediatric	11	119084861.0	119093920.0	ENSG00000256269
HNF1A	D_actionable_pediatric	12	120978543.0	121002512.0	ENSG00000135100
HNF1B	D_actionable_pediatric	17	37686431.0	37745095.0	ENSG00000275410
HNF4A	D_actionable_pediatric	20	44355439.0	44432845.0	ENSG00000101076
HNRNPU	B_mitotic_GO	1	244840638.0	244864574.0	ENSG00000153187
HORMAD1	B_mitotic_GO	1	150698059.0	150720895.0	ENSG00000143452
HORMAD2	B_mitotic_GO	22	30080444.0	30211427.0	ENSG00000176635
HYDIN	D_actionable_pediatric	16	70802084.0	71230735.0	ENSG00000157423
IDS	D_actionable_pediatric	X	149476988.0	149521096.0	ENSG00000010404
IDUA	D_actionable_pediatric	4	986997.0	1008344.0	ENSG00000127415
IER3IP1	B_mitotic_GO	18	47152834.0	47176381.0	ENSG00000134049
IHO1	B_mitotic_GO	3	49198428.0	49277629.0	ENSG00000173421
IK	B_mitotic_GO	5	140647058.0	140662480.0	ENSG00000113141
ILDR1	D_actionable_pediatric	3	121987322.0	122022282.0	ENSG00000145103
INCENP	B_mitotic_GO	11	62123985.0	62155474.0	ENSG00000149503
ING2	B_mitotic_GO	4	183504754.0	183516111.0	ENSG00000168556
INO80	B_mitotic_GO	15	40978880.0	41116568.0	ENSG00000128908
INSC	B_mitotic_GO	11	15112424.0	15247208.0	ENSG00000188487
IQGAP1	B_mitotic_GO	15	90388207.0	90502239.0	ENSG00000140575
IQGAP2	B_mitotic_GO	5	76402933.0	76708132.0	ENSG00000145703
IQGAP3	B_mitotic_GO	1	156525405.0	156572604.0	ENSG00000183856
IST1	B_mitotic_GO	16	71845970.0	71931199.0	ENSG00000182149
ITGA2B	D_actionable_pediatric	17	44372177.0	44389649.0	ENSG00000005961
ITGB3	D_actionable_pediatric	17	47253649.0	47323218.0	ENSG00000259207
IVD	D_actionable_pediatric	15	40405485.0	40435956.0	ENSG00000128928
JTB	B_mitotic_GO	1	153974269.0	153978011.0	ENSG00000143543
JUP	D_actionable_pediatric	17	41750887.0	41797798.0	ENSG00000173801
KANSL1	B_mitotic_GO	17	46029916.0	46225389.0	ENSG00000120071
KANSL3	B_mitotic_GO	2	96584179.0	96642787.0	ENSG00000114982
KAT2B	B_mitotic_GO	3	20040055.0	20154405.0	ENSG00000114166
KAT5	B_mitotic_GO	11	65711992.0	65719604.0	ENSG00000172977
KATNB1	B_mitotic_GO	16	57735669.0	57758271.0	ENSG00000140854
KCNH2	D_actionable_pediatric	7	150944064.0	150978394.0	ENSG00000055118
KCNQ1	D_actionable_pediatric	11	2444654.0	2849105.0	ENSG00000053918
KIF11	B_mitotic_GO	10	92574105.0	92655395.0	ENSG00000138160
KIF14	B_mitotic_GO	1	200551497.0	200620776.0	ENSG00000118193
KIF15	B_mitotic_GO	3	44761700.0	44873376.0	ENSG00000163808
KIF18A	B_mitotic_GO	11	28020618.0	28108186.0	ENSG00000121621
KIF18B	B_mitotic_GO	17	44924707.0	44947781.0	ENSG00000186185
KIF20A	B_mitotic_GO	5	138178715.0	138188171.0	ENSG00000112984
KIF22	B_mitotic_GO	16	29790137.0	29805388.0	ENSG00000079616
KIF23	B_mitotic_GO	15	69414246.0	69448427.0	ENSG00000137807
KIF25	B_mitotic_GO	6	167996241.0	168045109.0	ENSG00000125337
KIF2A	B_mitotic_GO	5	62305974.0	62391025.0	ENSG00000068796
KIF2B	B_mitotic_GO	17	53822927.0	53825193.0	ENSG00000141200
KIF2C	B_mitotic_GO	1	44739810.0	44767767.0	ENSG00000142945
KIF3B	B_mitotic_GO	20	32277627.0	32335011.0	ENSG00000101350
KIF4A	B_mitotic_GO	X	70290021.0	70420924.0	ENSG00000090889
KIF4B	B_mitotic_GO	5	155013755.0	155018141.0	ENSG00000226650
KIFC1	B_mitotic_GO	6	33391429.0	33410441.0	ENSG00000237649
KIT	C_tumour_predisposition,D_actionable_pediatric	4	54657267.0	54740783.0	ENSG00000157404
KLHDC8B	B_mitotic_GO	3	49171239.0	49176487.0	ENSG00000185909
KLHL22	B_mitotic_GO	22	20441519.0	20496893.0	ENSG00000099910
KMT5A	B_mitotic_GO	12	123384087.0	123409353.0	ENSG00000183955
KNL1	B_mitotic_GO	15	40594002.0	40664342.0	ENSG00000137812
KNSTRN	B_mitotic_GO	15	40382721.0	40395659.0	ENSG00000128944
KNTC1	B_mitotic_GO	12	122527246.0	122628182.0	ENSG00000184445
KPNB1	B_mitotic_GO	17	47649476.0	47685505.0	ENSG00000108424
KRAS	D_actionable_pediatric	12	25205246.0	25326473.0	ENSG00000133703
KRIT1	D_actionable_pediatric	7	92197498.0	92246166.0	ENSG00000001631
LAMP2	D_actionable_pediatric	X	120426148.0	120469365.0	ENSG00000005893
LCMT1	B_mitotic_GO	16	25111704.0	25178232.0	ENSG00000205629
LDLR	D_actionable_pediatric	19	11089418.0	11133830.0	ENSG00000130164
LHFPL5	D_actionable_pediatric	6	35797206.0	35845397.0	ENSG00000197753
LIF	B_mitotic_GO	22	30240453.0	30246804.0	ENSG00000128342
LITAF	D_actionable_pediatric	16	11546224.0	11640269.0	ENSG00000189067
LMNA	D_actionable_pediatric	1	156082572.0	156140085.0	ENSG00000160789
LOX	D_actionable_pediatric	5	122063151.0	122078634.0	ENSG00000113083
